"timestamp" "pressure"
"2018-01-09T07:00" 1026
"2018-01-09T07:30" 1035
"2018-01-09T08:00" 1020
"2018-01-09T08:30" 1021
"2018-01-09T09:00" 1018
"2018-01-09T09:30" 1032
"2018-01-09T10:00" 1031
"2018-01-09T10:30" 1015
"2018-01-09T11:00" 1024
"2018-01-09T11:30" 1026
"2018-01-09T12:00" 1017
"2018-01-09T12:30" 1011
"2018-01-09T13:00" 1012
"2018-01-09T13:30" 1028
"2018-01-09T14:00" 1029
"2018-01-09T14:30" 1031
"2018-01-09T15:00" 1024
"2018-01-09T15:30" 1035
"2018-01-09T16:00" 1020
"2018-01-09T16:30" 1012
"2018-01-09T17:00" 1017
"2018-01-09T17:30" 1035
"2018-01-09T18:00" 1020
"2018-01-09T18:30" 1030
"2018-01-09T19:00" 1035
"2018-01-09T19:30" 1022
"2018-01-09T20:00" 1022
"2018-01-09T20:30" 1016
"2018-01-09T21:00" 1013
"2018-01-09T21:30" 1022
"2018-01-10T07:00" 1006
"2018-01-10T07:30" 1023
"2018-01-10T08:00" 1017
"2018-01-10T08:30" 1022
"2018-01-10T09:00" 995
"2018-01-10T09:30" 1009
"2018-01-10T10:00" 1014
"2018-01-10T10:30" 1007
"2018-01-10T11:00" 1021
"2018-01-10T11:30" 1008
"2018-01-10T12:00" 997
"2018-01-10T12:30" 1025
"2018-01-10T13:00" 1023
"2018-01-10T13:30" 1016
"2018-01-10T14:00" 999
"2018-01-10T14:30" 1020
"2018-01-10T15:00" 1025
"2018-01-10T15:30" 1018
"2018-01-10T16:00" 1017
"2018-01-10T16:30" 1025
"2018-01-10T17:00" 999
"2018-01-10T17:30" 1013
"2018-01-10T18:00" 1002
"2018-01-10T18:30" 1006
"2018-01-10T19:00" 1025
"2018-01-10T19:30" 1001
"2018-01-10T20:00" 999
"2018-01-10T20:30" 1015
"2018-01-10T21:00" 1017
"2018-01-10T21:30" 1008
"2018-01-11T07:00" 1000
"2018-01-11T07:30" 1016
"2018-01-11T08:00" 1002
"2018-01-11T08:30" 1020
"2018-01-11T09:00" 1025
"2018-01-11T09:30" 1012
"2018-01-11T10:00" 1010
"2018-01-11T10:30" 1000
"2018-01-11T11:00" 1016
"2018-01-11T11:30" 1020
"2018-01-11T12:00" 1001
"2018-01-11T12:30" 1008
"2018-01-11T13:00" 1001
"2018-01-11T13:30" 1027
"2018-01-11T14:00" 1011
"2018-01-11T14:30" 1016
"2018-01-11T15:00" 1006
"2018-01-11T15:30" 1018
"2018-01-11T16:00" 1015
"2018-01-11T16:30" 1011
"2018-01-11T17:00" 1022
"2018-01-11T17:30" 1014
"2018-01-11T18:00" 1002
"2018-01-11T18:30" 1018
"2018-01-11T19:00" 1004
"2018-01-11T19:30" 1014
"2018-01-11T20:00" 1025
"2018-01-11T20:30" 1010
"2018-01-11T21:00" 1024
"2018-01-11T21:30" 1013
